-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/04/1995 through 05/30/2020 
Location: Latitude  27.6895   Longitude 85.3614 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1653.16 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,T2M_RANGE,TS,T2M
27.68951,85.36141,1995,03,19,    0.18,   14.95,   16.27,   16.74
27.68951,85.36141,1995,03,20,    0.00,   14.88,   17.28,   17.64
27.68951,85.36141,1995,03,21,    0.00,   14.30,   17.71,   18.18
27.68951,85.36141,1995,03,22,    0.00,   14.24,   18.35,   19.08
27.68951,85.36141,1995,03,23,    0.00,   13.95,   18.73,   19.12
27.68951,85.36141,1995,03,24,    0.00,   13.48,   19.60,   19.87
27.68951,85.36141,1995,03,25,    0.00,   13.54,   21.12,   20.77
27.68951,85.36141,1995,03,26,    0.50,   12.09,   18.97,   18.11
27.68951,85.36141,1995,03,27,    1.95,   12.80,   18.51,   16.98
27.68951,85.36141,1995,03,28,    0.08,   13.39,   17.45,   16.43
27.68951,85.36141,1995,03,29,    1.16,   15.27,   18.36,   17.52
27.68951,85.36141,1995,03,30,    0.41,   11.25,   18.00,   17.22
27.68951,85.36141,1995,03,31,    0.00,   15.00,   17.03,   16.49
27.68951,85.36141,1995,04,01,    0.00,   14.82,   15.78,   16.50
27.68951,85.36141,1995,04,02,    0.00,   16.05,   15.35,   16.09
27.68951,85.36141,1995,04,03,    0.00,   14.67,   15.05,   16.05
27.68951,85.36141,1995,04,04,    0.00,   15.82,   14.86,   15.57
27.68951,85.36141,1995,04,05,    0.00,   16.46,   15.99,   15.94
27.68951,85.36141,1995,04,06,    0.00,   15.61,   16.96,   17.10
27.68951,85.36141,1995,04,07,    0.00,   16.97,   18.60,   18.70
27.68951,85.36141,1995,04,08,    0.00,   15.44,   19.22,   18.89
27.68951,85.36141,1995,04,09,    0.00,   15.17,   19.93,   20.08
27.68951,85.36141,1995,04,10,    0.00,   15.77,   21.54,   21.23
27.68951,85.36141,1995,04,11,    0.74,   14.71,   21.30,   20.90
27.68951,85.36141,1995,04,12,    0.57,   13.99,   19.97,   19.38
27.68951,85.36141,1995,04,13,    0.02,   14.83,   18.15,   17.72
27.68951,85.36141,1995,04,14,    0.00,   14.24,   19.22,   19.07
27.68951,85.36141,1995,04,15,    0.00,   14.57,   21.06,   20.38
27.68951,85.36141,1995,04,16,    0.00,   16.56,   20.33,   19.62
27.68951,85.36141,1995,04,17,    0.00,   16.06,   20.74,   20.20
27.68951,85.36141,1995,04,18,    0.51,   15.52,   21.92,   21.22
27.68951,85.36141,1995,04,19,    0.01,   13.26,   22.83,   22.07
27.68951,85.36141,1995,04,20,    0.03,   12.87,   20.56,   20.48
27.68951,85.36141,1995,04,21,    0.01,   14.11,   20.84,   19.50
27.68951,85.36141,1995,04,22,    0.01,   13.58,   21.23,   20.37
27.68951,85.36141,1995,04,23,    0.00,   15.61,   22.48,   21.21
27.68951,85.36141,1995,04,24,    0.00,   15.34,   23.16,   22.05
27.68951,85.36141,1995,04,25,    0.00,   16.44,   24.04,   23.00
27.68951,85.36141,1995,04,26,    0.00,   15.25,   25.02,   23.61
27.68951,85.36141,1995,04,27,    0.00,   14.43,   25.17,   23.98
27.68951,85.36141,1995,04,28,    0.00,   14.95,   24.10,   22.91
27.68951,85.36141,1995,04,29,    0.00,   15.14,   24.42,   23.46
27.68951,85.36141,1995,04,30,    0.00,   10.50,   23.29,   22.75
27.68951,85.36141,1995,05,01,    0.25,   15.98,   24.83,   23.58
27.68951,85.36141,1995,05,02,    0.06,   16.47,   24.97,   24.26
27.68951,85.36141,1995,05,03,    0.00,   17.04,   24.76,   23.66
27.68951,85.36141,1995,05,04,    0.00,   15.80,   24.38,   23.39
27.68951,85.36141,1995,05,05,    0.00,   15.97,   23.75,   22.80
27.68951,85.36141,1995,05,06,    0.00,   17.29,   24.01,   22.94
27.68951,85.36141,1995,05,07,    0.00,   15.82,   24.77,   23.65
27.68951,85.36141,1995,05,08,    0.19,   12.68,   24.97,   23.91
27.68951,85.36141,1995,05,09,    0.04,   13.19,   25.36,   23.61
27.68951,85.36141,1995,05,10,    0.30,   11.73,   25.87,   23.10
27.68951,85.36141,1995,05,11,    0.19,   10.36,   25.22,   22.59
27.68951,85.36141,1995,05,12,    3.13,   10.87,   25.44,   23.09
27.68951,85.36141,1995,05,13,    0.13,   10.87,   26.22,   23.51
27.68951,85.36141,1995,05,14,    0.93,    9.89,   25.91,   23.24
27.68951,85.36141,1995,05,15,    0.12,   10.56,   26.88,   23.97
27.68951,85.36141,1995,05,16,    0.04,   10.16,   26.38,   23.78
27.68951,85.36141,1995,05,17,    0.87,   12.48,   25.93,   23.52
27.68951,85.36141,1995,05,18,    0.19,   14.17,   26.09,   24.75
27.68951,85.36141,1995,05,19,    0.03,   14.85,   26.62,   25.10
27.68951,85.36141,1995,05,20,    0.59,   12.05,   26.80,   24.79
27.68951,85.36141,1995,05,21,    4.07,   13.56,   25.28,   23.73
27.68951,85.36141,1995,05,22,    0.07,   14.96,   24.71,   23.25
27.68951,85.36141,1995,05,23,    0.00,   15.61,   25.22,   23.57
27.68951,85.36141,1995,05,24,    0.00,   15.85,   25.76,   24.08
27.68951,85.36141,1995,05,25,    0.00,   15.51,   25.86,   25.08
27.68951,85.36141,1995,05,26,    0.00,   15.43,   25.70,   24.97
27.68951,85.36141,1995,05,27,    0.00,   15.77,   25.92,   25.27
27.68951,85.36141,1995,05,28,    0.00,   15.67,   25.71,   25.38
27.68951,85.36141,1995,05,29,    0.00,   15.12,   26.09,   25.04
27.68951,85.36141,1995,05,30,    0.00,   14.26,   26.80,   24.91
27.68951,85.36141,1995,05,31,    0.00,   12.09,   27.70,   25.23
27.68951,85.36141,1995,06,01,    0.00,   11.52,   28.14,   25.40
27.68951,85.36141,1995,06,02,    0.16,   11.57,   28.40,   25.57
27.68951,85.36141,1995,06,03,    2.58,   11.25,   28.09,   25.36
27.68951,85.36141,1995,06,04,    0.21,   10.75,   27.88,   25.11
27.68951,85.36141,1995,06,05,    0.03,   11.40,   27.72,   24.83
27.68951,85.36141,1995,06,06,    0.05,   11.00,   27.56,   24.54
27.68951,85.36141,1995,06,07,    1.02,   10.98,   27.97,   24.97
27.68951,85.36141,1995,06,08,    2.74,   10.15,   27.14,   24.55
27.68951,85.36141,1995,06,09,    0.31,    9.69,   27.12,   24.58
27.68951,85.36141,1995,06,10,    3.02,   12.14,   27.33,   25.10
